date,open,high,low,close,volume,ticker
2020-06-08,9.7,9.83,9.49,9.53,6083313.0,SRTY
2020-06-05,9.96,10.27,9.65,10.13,11205729.0,SRTY
2020-06-04,11.6399,11.78,11.215,11.46,8088398.0,SRTY
2020-06-03,11.72,11.85,11.09,11.41,9058773.0,SRTY
2020-06-02,12.38,12.79,12.17,12.3,6600797.0,SRTY
2020-06-01,12.88,13.06,12.21,12.62,6673939.0,SRTY
2020-05-29,13.1585,13.675,12.8701,13.0,9948593.0,SRTY
2020-05-28,11.5256,12.95,11.5256,12.76,7051185.0,SRTY
2020-05-27,12.4,13.5588,11.82,11.91,7613301.0,SRTY
2020-05-26,12.71,13.23,12.65,13.17,5580446.0,SRTY
2020-05-22,14.48,14.9801,14.33,14.38,5057932.0,SRTY
2020-05-21,14.66,15.1399,14.35,14.57,6672244.0,SRTY
2020-05-20,15.16,15.28,14.3301,14.68,7797497.0,SRTY
2020-05-19,15.41,16.14,14.99,16.13,7621777.0,SRTY
2020-05-18,16.07,16.19,15.0,15.24,8975002.0,SRTY
2020-05-15,20.14,20.38,18.43,18.61,7015980.0,SRTY
2020-05-14,21.1289,22.4399,19.5,19.54,12546584.0,SRTY
2020-05-13,18.51,20.74,18.34,19.82,14865105.0,SRTY
2020-05-12,16.0055,18.0,15.99,17.97,6871694.0,SRTY
2020-05-11,16.69,17.0699,15.78,16.25,5506046.0,SRTY
2020-05-08,16.91,17.338,15.97,16.01,6919773.0,SRTY
2020-05-07,18.0999,18.482,17.61,18.04,6035263.0,SRTY
2020-05-06,18.13,19.03,17.7766,18.91,5467260.0,SRTY
2020-05-05,17.8399,18.71,17.0,18.49,5106869.0,SRTY
2020-05-04,19.84,20.47,18.8,18.93,8303728.0,SRTY
2020-05-01,18.36,19.8539,18.22,19.08,8552624.0,SRTY
2020-04-30,16.5681,17.13,16.2,17.07,5355986.0,SRTY
2020-04-29,16.1799,16.84,14.78,15.34,6661430.0,SRTY
2020-04-28,17.15,18.78,16.98,17.91,4532717.0,SRTY
2020-04-27,20.55,20.6,18.25,18.76,4365138.0,SRTY
2020-04-24,21.9097,22.655,20.8899,21.31,3842975.0,SRTY
2020-04-23,22.71,22.9,21.0836,22.46,5202277.0,SRTY
2020-04-22,22.56,23.43,22.13,23.15,3471633.0,SRTY
2020-04-21,24.28,24.76,23.23,24.06,5346816.0,SRTY
2020-04-20,23.05,23.32,21.3,22.5,3521025.0,SRTY
2020-04-17,21.86,23.02,21.37,21.76,4278936.0,SRTY
2020-04-16,24.34,26.46,24.1,24.99,5409663.0,SRTY
2020-04-15,24.46,25.05,23.77,24.46,4122171.0,SRTY
2020-04-14,21.24,22.67,20.65,21.72,3196707.0,SRTY
2020-04-13,21.96,23.86,21.5935,23.11,3951820.0,SRTY
