No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
1,SRTY,-22.08%,-46.43%,-60.71%,-49.25%,-62.03%,-43.60%,6.07%,8.26%,-,4.92M,2.34,10.13,-11.61%,"11,243,520"
2,CAL,42.12%,67.60%,7.26%,-52.14%,-46.14%,-57.09%,11.02%,10.91%,2.40,1.28M,1.56,10.19,7.38%,"1,981,094"
3,TEN,51.33%,129.37%,63.16%,-18.75%,-3.40%,-21.91%,9.85%,9.81%,3.20,2.27M,1.51,10.23,12.67%,"3,413,443"
4,OSUR,-28.92%,-36.44%,74.58%,34.05%,22.89%,28.70%,8.09%,7.54%,3.00,1.48M,1.76,10.34,-4.31%,"2,538,817"
5,APY,17.90%,14.13%,-41.32%,-60.17%,-67.82%,-69.39%,7.66%,7.14%,2.00,4.07M,10.65,10.34,2.48%,"37,297,720"
6,SABR,48.49%,60.22%,1.97%,-53.77%,-50.71%,-53.88%,10.82%,9.50%,3.10,10.86M,1.72,10.35,14.75%,"18,897,712"
7,OVV,36.67%,104.08%,32.37%,-48.35%,-59.03%,-55.18%,10.38%,8.52%,3.00,11.32M,1.65,10.51,19.30%,"18,464,336"
8,CIM,27.80%,35.46%,-47.99%,-47.94%,-43.45%,-48.35%,7.59%,5.26%,2.70,6.92M,1.61,10.62,4.94%,"10,894,227"
9,RUTH,31.94%,18.63%,-34.52%,-53.96%,-53.50%,-50.84%,10.24%,9.25%,2.70,1.77M,1.94,10.70,6.31%,"3,372,294"
10,LILAK,14.17%,17.60%,-26.24%,-35.30%,-38.63%,-43.68%,4.70%,5.30%,2.00,1.22M,2.52,10.96,9.60%,"2,994,485"
11,UAA,26.86%,20.78%,-12.11%,-40.35%,-56.78%,-48.61%,6.10%,7.32%,2.90,8.17M,1.70,11.10,6.63%,"13,743,071"
12,MAC,63.88%,70.64%,-39.04%,-56.02%,-67.02%,-56.00%,10.51%,8.97%,3.20,8.50M,2.38,11.16,19.23%,"19,703,734"
13,TGI,49.27%,129.10%,-30.77%,-59.30%,-42.96%,-55.76%,12.55%,13.86%,3.10,2.24M,1.77,11.18,14.43%,"3,901,068"
14,SVC,66.96%,92.65%,-31.99%,-51.59%,-53.41%,-53.68%,11.74%,10.11%,2.00,3.13M,1.76,11.27,21.18%,"5,399,836"
15,MT,20.48%,10.28%,-10.29%,-31.90%,-22.99%,-33.92%,3.20%,4.47%,2.00,5.85M,1.72,11.59,2.11%,"9,892,562"
16,EB,35.38%,21.31%,-8.90%,-39.12%,-27.47%,-42.14%,9.64%,9.50%,2.50,1.91M,1.53,11.67,15.77%,"2,893,206"
17,AA,31.05%,56.55%,9.63%,-38.92%,-44.04%,-43.89%,9.54%,7.87%,2.60,9.95M,1.89,12.07,3.69%,"18,677,632"
18,GPS,38.31%,71.69%,-6.67%,-23.30%,-31.54%,-30.37%,10.45%,9.79%,3.20,13.45M,2.28,12.31,1.40%,"29,915,848"
19,XHR,37.11%,51.23%,-18.01%,-40.64%,-40.82%,-42.90%,9.21%,9.06%,2.60,1.28M,1.87,12.34,15.11%,"2,354,835"
20,PCG,5.56%,8.96%,-12.26%,32.21%,-40.30%,15.18%,4.90%,5.48%,2.40,11.14M,1.64,12.52,5.48%,"18,177,080"
21,AMKR,18.62%,28.72%,27.28%,3.29%,76.76%,-3.46%,5.44%,4.73%,3.00,1.55M,1.71,12.55,6.99%,"2,606,619"
