,No.,Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,from Open,Gap,Volume
0,1,LC,1.11,0.45,-11.24%,-20.98%,-53.12%,-69.58%,2.66%,39.71,5.02,-0.99%,-2.33%,1.38%,"2,758,111"
1,2,LLNW,0.96,0.31,0.02%,-3.93%,12.46%,-26.38%,134.09%,47.50,5.15,0.98%,0.59%,0.39%,"2,018,332"
2,3,ITUB,0.88,0.30,7.93%,19.45%,-23.26%,-45.15%,51.44%,59.77,5.27,3.54%,0.57%,2.95%,"39,647,445"
3,4,FBP,1.48,0.41,-6.06%,-1.20%,-34.76%,-51.69%,55.14%,47.23,5.43,-2.16%,-0.91%,-1.26%,"3,580,299"
4,5,CMO,1.32,0.34,0.30%,7.69%,-18.91%,-40.86%,177.66%,51.97,5.47,-3.36%,-4.20%,0.88%,"1,385,604"
5,6,PLUG,1.15,0.37,15.43%,23.40%,48.99%,-9.42%,194.62%,61.70,5.48,1.67%,1.29%,0.37%,"14,963,558"
6,7,TV,1.15,0.42,-5.60%,2.48%,-36.53%,-54.54%,23.23%,48.16,5.73,3.62%,1.60%,1.99%,"1,602,740"
7,8,BSBR,1.00,0.36,3.71%,15.29%,-33.63%,-54.76%,55.83%,55.23,5.75,-0.17%,-3.04%,2.95%,"2,517,188"
8,9,INFN,0.95,0.40,15.98%,10.45%,-1.59%,-28.14%,114.29%,61.31,6.00,1.10%,-3.23%,4.47%,"5,479,841"
9,10,F,1.28,0.40,-1.47%,12.04%,-17.83%,-41.00%,57.32%,52.48,6.23,-1.58%,-5.89%,4.58%,"125,435,512"
10,11,CERS,1.30,0.41,3.95%,11.04%,31.31%,-7.74%,133.21%,56.23,6.32,2.43%,1.12%,1.30%,"2,790,582"
11,12,KGC,1.01,0.36,-0.98%,-3.01%,23.34%,-16.56%,135.29%,47.82,6.40,2.89%,1.11%,1.77%,"19,416,890"
12,13,RPAI,1.30,0.58,-1.36%,13.93%,-36.89%,-54.76%,125.44%,52.01,6.47,-4.99%,-5.13%,0.15%,"6,195,650"
13,14,DVAX,1.18,0.71,8.73%,36.53%,34.97%,-19.52%,263.06%,59.13,6.53,6.61%,1.32%,5.22%,"10,665,375"
14,15,RWT,1.16,0.69,3.78%,37.14%,-48.14%,-63.30%,208.88%,55.41,6.61,-5.84%,-5.57%,-0.28%,"5,003,929"
15,16,NLY,1.08,0.33,0.35%,6.48%,-17.87%,-36.29%,90.60%,51.84,6.69,-3.88%,-4.97%,1.15%,"37,713,417"
16,17,RPT,1.26,0.64,-6.62%,4.58%,-41.36%,-55.80%,45.40%,48.26,6.71,-5.23%,-6.02%,0.85%,"2,299,356"
